"Estacion","Fecha","Temp_max","Temp_min","Cantidad_ml"
"10,131","03/08/2011 ",14,-2,NA
"10,131","04/08/2011 ",14,0,NA
"10,131","05/08/2011 ",21,0,NA
"10,131","06/08/2011 ",20,4,NA
"10,131","07/08/2011 ",18,4,NA
"10,131","08/08/2011 ",20,4,NA
"10,131","09/08/2011 ",21,5,NA
"10,131","10/08/2011 ",21,4,NA
"10,131","11/08/2011 ",24,6,NA
"10,131","12/08/2011 ",19,11,NA
"10,131","13/08/2011 ",18,12,NA
"10,131","14/08/2011 ",19,3,NA
"10,131","15/08/2011 ",18,5,NA
"10,131","16/08/2011 ",16,4,NA
"10,131","17/08/2011 ",19,3,1.5
"10,131","18/08/2011 ",13,2,10.2
"10,131","19/08/2011 ",10,4,NA
"10,131","20/08/2011 ",13,-1,NA
"10,131","21/08/2011 ",14,0,NA
"10,131","22/08/2011 ",17,0,NA
"10,131","23/08/2011 ",19,1,NA
"10,131","24/08/2011 ",17,4,NA
"10,131","25/08/2011 ",12,6,NA
"10,131","26/08/2011 ",17,1,NA
"10,131","27/08/2011 ",20,6,NA
"10,131","28/08/2011 ",20,6,NA
"10,131","29/08/2011 ",22,3,NA
"10,131","30/08/2011 ",19,2,NA
"10,131","31/08/2011 ",19,3,NA
"10,131","01/09/2011 ",22,6,NA
"10,131","02/09/2011 ",23,6,NA
"10,131","03/09/2011 ",20,14,NA
"10,131","04/09/2011 ",16,9,NA
"10,131","05/09/2011 ",20,2,NA
"10,131","06/09/2011 ",19,8,NA
"10,131","07/09/2011 ",20,4,NA
"10,131","08/09/2011 ",23,4,NA
"10,131","09/09/2011 ",26,5,NA
"10,131","10/09/2011 ",22,8,NA
"10,131","11/09/2011 ",27,6,NA
"10,131","12/09/2011 ",28,7,NA
"10,131","13/09/2011 ",25,12,NA
"10,131","14/09/2011 ",25,8,NA
"10,131","15/09/2011 ",29,10,NA
"10,131","16/09/2011 ",27,11,NA
"10,131","17/09/2011 ",19,9,NA
"10,131","18/09/2011 ",20,4,NA
"10,131","19/09/2011 ",26,6,NA
"10,131","20/09/2011 ",28,8,NA
"10,131","21/09/2011 ",29,9,NA
"10,131","22/09/2011 ",23,7,NA
